0	0.840188	0.394383
1	0.783099	0.798440
2	0.911647	0.197551
3	0.335223	0.768230
4	0.277775	0.553970
5	0.044852	0.915356
6	0.397286	0.914919
7	0.684473	0.914746
8	0.407864	0.475174
9	0.007022	0.887526
10	0.867652	0.085737
11	0.374476	0.510197
12	0.933116	0.389323
13	0.304679	0.812200
14	0.727120	0.702776
15	0.617522	0.770964
16	0.246138	0.887987
17	0.775513	0.723341
18	0.809078	0.144062
19	0.654259	0.359421
20	0.748744	0.338175
21	0.150376	0.240132
22	0.942908	0.941924
23	0.712889	0.340220
24	0.228207	0.583844
25	0.307185	0.644498
26	0.788560	0.094877
27	0.454298	0.632174
28	0.970349	0.595538
29	0.835669	0.011853
30	0.953777	0.287310
31	0.627530	0.924823
32	0.508667	0.837880
33	0.482378	0.506342
34	0.601220	0.231934
35	0.864108	0.743951
36	0.339489	0.515024
37	0.526877	0.953403
38	0.240713	0.292743
39	0.217566	0.773013
40	0.610893	0.583437
41	0.089780	0.474202
42	0.706136	0.077966
43	0.821917	0.005077
44	0.520102	0.359883
45	0.313286	0.290300
46	0.583043	0.674954
47	0.447968	0.146221
48	0.729658	0.068929
49	0.543131	0.516343
50	0.594309	0.256955
51	0.262033	0.224211
52	0.584094	0.914197
53	0.204497	0.356747
54	0.031701	0.873619
55	0.019839	0.114992
56	0.183922	0.690663
57	0.207006	0.079373
58	0.336328	0.795831
59	0.020042	0.795174
60	0.709370	0.209608
61	0.566355	0.952892
62	0.826511	0.289556
63	0.404548	0.616256
64	0.306920	0.164783
65	0.244156	0.291843
66	0.087674	0.532782
67	0.327955	0.559339
68	0.768947	0.213366
69	0.166258	0.652599
70	0.942155	0.011084
71	0.627340	0.434966
72	0.599749	0.250697
73	0.542540	0.763426
74	0.296207	0.603232
75	0.162571	0.449781
76	0.663147	0.612681
77	0.265280	0.200178
78	0.211262	0.661291
79	0.096257	0.489314
80	0.740011	0.221048
81	0.984473	0.964298
82	0.567529	0.650696
83	0.100477	0.566331
84	0.179012	0.928438
85	0.128616	0.415200
86	0.076491	0.205868
87	0.695181	0.951343
88	0.172391	0.408664
89	0.372961	0.630509
90	0.281205	0.342387
91	0.908718	0.332209
92	0.260647	0.738333
93	0.153533	0.183749
94	0.389617	0.907621
95	0.858964	0.271526
96	0.680190	0.237734
97	0.868243	0.625764
98	0.968151	0.664233
